date,year,month,quarter,season,region,country,temperature,rainfall,humidity,co2,sea_level
1950-01-01,1950,1,1,Winter,Australia-Pacific,Australia,25.08,71.39,57.19,302.03,-3.18
1950-02-01,1950,2,1,Winter,Australia-Pacific,Australia,25.67,45.05,56.24,302.09,-4.28
1950-03-01,1950,3,1,Spring,Australia-Pacific,Australia,22.62,54.55,54.93,301.97,-2.42
1950-04-01,1950,4,2,Spring,Australia-Pacific,Australia,21.54,42.88,56.05,300.78,8.47
1950-05-01,1950,5,2,Spring,Australia-Pacific,Australia,19.08,18.1,56.57,301.67,2.98
1950-06-01,1950,6,2,Summer,Australia-Pacific,Australia,17.47,27.11,46.39,301.68,-4.93
1950-07-01,1950,7,3,Summer,Australia-Pacific,Australia,16.82,19.67,58.17,301.24,-1.48
1950-08-01,1950,8,3,Summer,Australia-Pacific,Australia,15.95,36.41,51.89,301.81,-1.79
1950-09-01,1950,9,3,Autumn,Australia-Pacific,Australia,18.1,31.86,55.77,301.13,2.11
1950-10-01,1950,10,4,Autumn,Australia-Pacific,Australia,20.22,43.69,54.92,301.73,-1.23
1950-11-01,1950,11,4,Autumn,Australia-Pacific,Australia,22.63,49.27,52.53,302.08,0.2
1950-12-01,1950,12,4,Winter,Australia-Pacific,Australia,24.34,48.15,50.0,301.93,2.32
1951-01-01,1951,1,1,Winter,Australia-Pacific,Australia,25.77,61.42,54.56,303.19,3.06
1951-02-01,1951,2,1,Winter,Australia-Pacific,Australia,25.91,52.07,51.84,303.12,6.15
1951-03-01,1951,3,1,Spring,Australia-Pacific,Australia,24.49,60.9,55.81,302.46,-1.14
1951-04-01,1951,4,2,Spring,Australia-Pacific,Australia,22.55,17.29,62.52,302.53,7.27
1951-05-01,1951,5,2,Spring,Australia-Pacific,Australia,18.88,38.76,66.93,302.72,0.46
1951-06-01,1951,6,2,Summer,Australia-Pacific,Australia,16.26,19.18,53.35,302.63,-2.25
1951-07-01,1951,7,3,Summer,Australia-Pacific,Australia,15.77,31.52,50.52,302.79,5.72
1951-08-01,1951,8,3,Summer,Australia-Pacific,Australia,15.5,48.66,51.63,302.93,5.34
1951-09-01,1951,9,3,Autumn,Australia-Pacific,Australia,19.48,36.22,51.53,302.54,-0.22
1951-10-01,1951,10,4,Autumn,Australia-Pacific,Australia,21.86,34.4,56.62,302.43,-1.97
1951-11-01,1951,11,4,Autumn,Australia-Pacific,Australia,23.25,41.74,53.74,302.26,1.28
1951-12-01,1951,12,4,Winter,Australia-Pacific,Australia,26.55,45.43,59.49,301.46,-0.91
1952-01-01,1952,1,1,Winter,Australia-Pacific,Australia,24.4,70.99,59.39,303.79,3.87
1952-02-01,1952,2,1,Winter,Australia-Pacific,Australia,26.3,67.71,52.97,303.32,0.3
1952-03-01,1952,3,1,Spring,Australia-Pacific,Australia,24.25,66.2,54.73,303.96,10.2
1952-04-01,1952,4,2,Spring,Australia-Pacific,Australia,21.83,23.6,54.41,304.6,2.79
1952-05-01,1952,5,2,Spring,Australia-Pacific,Australia,19.54,15.29,47.83,303.91,2.15
1952-06-01,1952,6,2,Summer,Australia-Pacific,Australia,17.05,35.68,67.33,303.9,2.06
1952-07-01,1952,7,3,Summer,Australia-Pacific,Australia,15.41,37.9,60.67,304.02,9.2
1952-08-01,1952,8,3,Summer,Australia-Pacific,Australia,16.05,39.65,62.27,303.66,4.73
1952-09-01,1952,9,3,Autumn,Australia-Pacific,Australia,16.26,39.82,49.49,304.43,5.26
1952-10-01,1952,10,4,Autumn,Australia-Pacific,Australia,21.29,47.24,55.28,304.05,2.78
1952-11-01,1952,11,4,Autumn,Australia-Pacific,Australia,22.41,42.86,53.55,303.88,-2.22
1952-12-01,1952,12,4,Winter,Australia-Pacific,Australia,24.44,22.18,53.46,304.34,-5.05
1953-01-01,1953,1,1,Winter,Australia-Pacific,Australia,26.02,57.26,49.12,305.38,7.65
1953-02-01,1953,2,1,Winter,Australia-Pacific,Australia,24.68,54.8,56.73,305.22,7.52
1953-03-01,1953,3,1,Spring,Australia-Pacific,Australia,23.99,42.44,66.82,305.96,-0.56
1953-04-01,1953,4,2,Spring,Australia-Pacific,Australia,21.25,61.04,50.09,305.58,8.19
1953-05-01,1953,5,2,Spring,Australia-Pacific,Australia,19.45,39.58,58.69,305.56,2.12
1953-06-01,1953,6,2,Summer,Australia-Pacific,Australia,17.14,25.16,52.59,306.14,3.36
1953-07-01,1953,7,3,Summer,Australia-Pacific,Australia,17.23,29.61,54.2,304.82,10.86
1953-08-01,1953,8,3,Summer,Australia-Pacific,Australia,16.59,6.2,59.94,305.53,1.71
1953-09-01,1953,9,3,Autumn,Australia-Pacific,Australia,19.02,5.63,51.43,305.43,7.06
1953-10-01,1953,10,4,Autumn,Australia-Pacific,Australia,22.15,35.77,57.3,306.65,4.51
1953-11-01,1953,11,4,Autumn,Australia-Pacific,Australia,23.61,32.44,64.8,305.26,5.31
1953-12-01,1953,12,4,Winter,Australia-Pacific,Australia,25.59,54.87,52.83,305.65,9.77
1954-01-01,1954,1,1,Winter,Australia-Pacific,Australia,27.57,56.71,52.75,306.58,14.06
1954-02-01,1954,2,1,Winter,Australia-Pacific,Australia,25.52,65.37,58.48,307.78,5.26
1954-03-01,1954,3,1,Spring,Australia-Pacific,Australia,22.88,63.97,59.52,307.08,10.61
1954-04-01,1954,4,2,Spring,Australia-Pacific,Australia,21.94,52.01,56.23,307.26,7.58
1954-05-01,1954,5,2,Spring,Australia-Pacific,Australia,18.73,29.41,53.04,307.01,4.63
1954-06-01,1954,6,2,Summer,Australia-Pacific,Australia,17.15,33.35,56.03,306.99,4.3
1954-07-01,1954,7,3,Summer,Australia-Pacific,Australia,15.75,9.96,54.4,306.51,6.3
1954-08-01,1954,8,3,Summer,Australia-Pacific,Australia,16.08,8.33,66.26,306.81,10.34
1954-09-01,1954,9,3,Autumn,Australia-Pacific,Australia,17.94,48.82,49.24,306.97,2.72
1954-10-01,1954,10,4,Autumn,Australia-Pacific,Australia,22.43,35.71,59.14,307.08,5.92
1954-11-01,1954,11,4,Autumn,Australia-Pacific,Australia,23.66,58.86,58.34,306.96,7.56
1954-12-01,1954,12,4,Winter,Australia-Pacific,Australia,26.86,49.75,45.73,306.46,2.93
1955-01-01,1955,1,1,Winter,Australia-Pacific,Australia,25.21,49.82,54.88,308.35,8.21
1955-02-01,1955,2,1,Winter,Australia-Pacific,Australia,24.89,64.19,57.67,308.88,10.04
1955-03-01,1955,3,1,Spring,Australia-Pacific,Australia,23.46,58.38,56.37,308.57,9.66
1955-04-01,1955,4,2,Spring,Australia-Pacific,Australia,21.48,37.06,54.34,307.91,1.07
1955-05-01,1955,5,2,Spring,Australia-Pacific,Australia,18.47,33.54,60.43,308.57,6.66
1955-06-01,1955,6,2,Summer,Australia-Pacific,Australia,16.33,27.41,50.12,307.4,2.86
1955-07-01,1955,7,3,Summer,Australia-Pacific,Australia,17.01,46.04,58.77,308.23,3.32
1955-08-01,1955,8,3,Summer,Australia-Pacific,Australia,16.5,35.52,59.15,308.53,11.13
1955-09-01,1955,9,3,Autumn,Australia-Pacific,Australia,19.8,27.35,69.03,307.44,5.17
1955-10-01,1955,10,4,Autumn,Australia-Pacific,Australia,20.65,43.88,54.09,308.05,14.11
1955-11-01,1955,11,4,Autumn,Australia-Pacific,Australia,22.88,34.55,63.45,308.59,10.78
1955-12-01,1955,12,4,Winter,Australia-Pacific,Australia,25.59,39.9,55.42,307.64,8.23
1956-01-01,1956,1,1,Winter,Australia-Pacific,Australia,26.37,69.58,54.54,309.9,6.29
1956-02-01,1956,2,1,Winter,Australia-Pacific,Australia,26.18,60.95,51.0,309.81,12.27
1956-03-01,1956,3,1,Spring,Australia-Pacific,Australia,23.79,36.53,55.89,309.82,6.51
1956-04-01,1956,4,2,Spring,Australia-Pacific,Australia,20.83,41.37,59.12,310.46,11.0
1956-05-01,1956,5,2,Spring,Australia-Pacific,Australia,18.1,52.51,60.27,308.8,5.91
1956-06-01,1956,6,2,Summer,Australia-Pacific,Australia,16.49,37.88,43.1,309.55,11.34
1956-07-01,1956,7,3,Summer,Australia-Pacific,Australia,13.87,34.69,59.33,309.26,5.54
1956-08-01,1956,8,3,Summer,Australia-Pacific,Australia,15.99,1.73,53.37,309.69,5.34
1956-09-01,1956,9,3,Autumn,Australia-Pacific,Australia,19.09,32.56,56.3,309.44,11.23
1956-10-01,1956,10,4,Autumn,Australia-Pacific,Australia,21.48,34.05,58.81,309.91,10.25
1956-11-01,1956,11,4,Autumn,Australia-Pacific,Australia,24.56,37.52,52.89,309.29,11.18
1956-12-01,1956,12,4,Winter,Australia-Pacific,Australia,25.25,46.83,63.32,310.32,8.01
1957-01-01,1957,1,1,Winter,Australia-Pacific,Australia,24.87,77.79,57.35,311.12,10.82
1957-02-01,1957,2,1,Winter,Australia-Pacific,Australia,24.87,49.72,58.39,310.77,11.8
1957-03-01,1957,3,1,Spring,Australia-Pacific,Australia,23.76,34.06,63.11,311.19,11.49
1957-04-01,1957,4,2,Spring,Australia-Pacific,Australia,22.01,17.44,52.53,310.34,10.87
1957-05-01,1957,5,2,Spring,Australia-Pacific,Australia,19.26,32.96,60.89,310.35,8.1
1957-06-01,1957,6,2,Summer,Australia-Pacific,Australia,17.18,31.98,48.42,311.43,15.13
1957-07-01,1957,7,3,Summer,Australia-Pacific,Australia,16.33,11.38,55.8,311.09,9.68
1957-08-01,1957,8,3,Summer,Australia-Pacific,Australia,17.66,28.05,65.52,311.26,11.33
1957-09-01,1957,9,3,Autumn,Australia-Pacific,Australia,19.06,47.34,59.5,310.92,8.52
1957-10-01,1957,10,4,Autumn,Australia-Pacific,Australia,19.68,12.99,55.87,310.79,9.5
1957-11-01,1957,11,4,Autumn,Australia-Pacific,Australia,24.09,43.84,64.48,310.72,7.59
1957-12-01,1957,12,4,Winter,Australia-Pacific,Australia,24.52,61.48,60.76,310.71,7.31
1958-01-01,1958,1,1,Winter,Australia-Pacific,Australia,27.06,43.42,60.05,312.07,13.19
1958-02-01,1958,2,1,Winter,Australia-Pacific,Australia,26.29,58.95,53.52,312.86,12.87
1958-03-01,1958,3,1,Spring,Australia-Pacific,Australia,26.52,27.27,46.4,312.7,11.9
1958-04-01,1958,4,2,Spring,Australia-Pacific,Australia,22.21,24.58,55.27,312.48,10.37
1958-05-01,1958,5,2,Spring,Australia-Pacific,Australia,19.21,17.34,56.97,312.88,8.29
1958-06-01,1958,6,2,Summer,Australia-Pacific,Australia,15.91,41.63,48.42,312.64,12.17
1958-07-01,1958,7,3,Summer,Australia-Pacific,Australia,15.71,42.25,59.64,312.41,5.54
1958-08-01,1958,8,3,Summer,Australia-Pacific,Australia,17.2,18.11,53.89,312.3,17.69
1958-09-01,1958,9,3,Autumn,Australia-Pacific,Australia,18.2,16.7,62.35,312.59,14.29
1958-10-01,1958,10,4,Autumn,Australia-Pacific,Australia,21.65,56.17,50.54,311.74,14.53
1958-11-01,1958,11,4,Autumn,Australia-Pacific,Australia,23.14,43.21,49.39,312.53,13.21
1958-12-01,1958,12,4,Winter,Australia-Pacific,Australia,25.37,39.56,61.05,312.4,15.35
1959-01-01,1959,1,1,Winter,Australia-Pacific,Australia,24.35,59.09,51.42,313.66,16.33
1959-02-01,1959,2,1,Winter,Australia-Pacific,Australia,25.77,54.19,55.06,313.03,10.78
1959-03-01,1959,3,1,Spring,Australia-Pacific,Australia,24.62,39.72,60.7,313.98,16.14
1959-04-01,1959,4,2,Spring,Australia-Pacific,Australia,21.88,31.44,54.24,313.91,7.12
1959-05-01,1959,5,2,Spring,Australia-Pacific,Australia,19.98,26.27,54.57,313.62,13.38
1959-06-01,1959,6,2,Summer,Australia-Pacific,Australia,15.91,30.84,57.97,312.83,9.6
1959-07-01,1959,7,3,Summer,Australia-Pacific,Australia,16.71,34.42,56.49,313.38,15.65
1959-08-01,1959,8,3,Summer,Australia-Pacific,Australia,15.78,27.81,48.47,313.59,10.41
1959-09-01,1959,9,3,Autumn,Australia-Pacific,Australia,18.97,36.03,52.15,314.09,10.63
1959-10-01,1959,10,4,Autumn,Australia-Pacific,Australia,20.52,31.83,58.71,313.91,17.41
1959-11-01,1959,11,4,Autumn,Australia-Pacific,Australia,23.41,14.07,52.85,314.28,12.53
1959-12-01,1959,12,4,Winter,Australia-Pacific,Australia,24.06,58.7,57.62,313.36,12.76
1960-01-01,1960,1,1,Winter,Australia-Pacific,Australia,25.3,63.99,55.28,314.53,14.97
1960-02-01,1960,2,1,Winter,Australia-Pacific,Australia,24.96,69.34,59.47,314.95,15.24
1960-03-01,1960,3,1,Spring,Australia-Pacific,Australia,24.55,43.18,58.79,315.59,13.53
1960-04-01,1960,4,2,Spring,Australia-Pacific,Australia,22.87,50.23,56.24,314.82,15.71
1960-05-01,1960,5,2,Spring,Australia-Pacific,Australia,18.88,23.18,57.66,314.59,13.98
1960-06-01,1960,6,2,Summer,Australia-Pacific,Australia,16.67,14.91,58.29,314.91,18.9
1960-07-01,1960,7,3,Summer,Australia-Pacific,Australia,15.87,22.73,50.48,315.02,15.13
1960-08-01,1960,8,3,Summer,Australia-Pacific,Australia,17.25,29.95,65.47,315.18,12.04
1960-09-01,1960,9,3,Autumn,Australia-Pacific,Australia,17.61,37.12,49.91,315.24,17.69
1960-10-01,1960,10,4,Autumn,Australia-Pacific,Australia,21.25,29.12,59.61,315.13,13.18
1960-11-01,1960,11,4,Autumn,Australia-Pacific,Australia,23.24,49.95,51.64,315.12,19.34
1960-12-01,1960,12,4,Winter,Australia-Pacific,Australia,26.23,54.86,56.17,314.78,13.47
